Subject,Start Date,Start Time,End Date,End Time,All Day Event,Reminder On/Off,Reminder Date,Reminder Time,Meeting Organizer,Required Attendees,Optional Attendees,Resource Attendees,Billing Information,Categories,Description,Location,Mileage,Priority,Private,Sensitivity,Show Time As
Super App Urgent,6/2/2025,1:30 PM,6/2/2025,2:00 PM,FALSE,TRUE,,,,,,"Super App Urgent meeting.",,Normal,FALSE,Normal,2
Quick Connect before CVS,6/2/2025,2:00 PM,6/2/2025,2:30 PM,FALSE,TRUE,,,,,,"Quick Connect before CVS meeting.",,Normal,FALSE,Normal,2
CVS Supply Update,6/2/2025,2:30 PM,6/2/2025,3:00 PM,FALSE,TRUE,,,,,,"CVS Supply Update meeting.",,Normal,FALSE,Normal,2
Pharmacy Services,6/2/2025,3:00 PM,6/2/2025,3:30 PM,FALSE,TRUE,,,,,,"Pharmacy Services.",,Normal,FALSE,Normal,2
Retail to Mail Initiative,6/3/2025,8:30 PM,6/3/2025,9:00 PM,FALSE,TRUE,,,,,,"Retail to Mail Initiative.",,Normal,FALSE,Normal,2
BD Skyline - Arch,6/3/2025,9:00 PM,6/3/2025,9:30 PM,FALSE,TRUE,,,,,,"BD Skyline - Arch.",,Normal,FALSE,Normal,2
Amido.com - Formulary Data,6/4/2025,10:00 AM,6/4/2025,10:30 AM,FALSE,TRUE,,,,,,"Amido.com - Formulary Data.",,Normal,FALSE,Normal,2
Interview with Pravesh,6/4/2025,2:00 PM,6/4/2025,2:30 PM,FALSE,TRUE,,,,,,"Interview with Pravesh.",,Normal,FALSE,Normal,2
Retail to Mail Initiative,6/4/2025,2:30 PM,6/4/2025,3:00 PM,FALSE,TRUE,,,,,,"Retail to Mail Initiative.",,Normal,FALSE,Normal,2
Regular IB,6/4/2025,3:00 PM,6/4/2025,3:30 PM,FALSE,TRUE,,,,,,"Regular IB.",,Normal,FALSE,Normal,2
Mary FTD Bouquet Avisa 415-430-8520,6/5/2025,10:00 AM,6/5/2025,10:30 AM,FALSE,TRUE,,,,,,"Mary FTD Bouquet Avisa 415-430-8520.",,Normal,FALSE,Normal,2
DDD CU - Docs,6/5/2025,10:30 AM,6/5/2025,11:00 AM,FALSE,TRUE,,,,,,"DDD CU - Docs.",,Normal,FALSE,Normal,2
Interview with Grace,6/5/2025,11:00 AM,6/5/2025,11:30 AM,FALSE,TRUE,,,,,,"Interview with Grace.",,Normal,FALSE,Normal,2
Interview with Adam-Kiber,6/5/2025,12:00 PM,6/5/2025,12:30 PM,FALSE,TRUE,,,,,,"Interview with Adam-Kiber.",,Normal,FALSE,Normal,2
CVS Health Rally,6/6/2025,12:00 PM,6/6/2025,12:30 PM,FALSE,TRUE,,,,,,"CVS Health Rally.",,Normal,FALSE,Normal,2
HAPPY HOUR with B,6/6/2025,12:30 PM,6/6/2025,1:00 PM,FALSE,TRUE,,,,,,"HAPPY HOUR with B.",,Normal,FALSE,Normal,2
Retail to Mail Initiative,6/6/2025,1:00 PM,6/6/2025,1:30 PM,FALSE,TRUE,,,,,,"Retail to Mail Initiative.",,Normal,FALSE,Normal,2
Amrap 2R Speech,6/6/2025,2:00 PM,6/6/2025,2:30 PM,FALSE,TRUE,,,,,,"Amrap 2R Speech.",,Normal,FALSE,Normal,2
Retail to Mail Initiative,6/9/2025,8:30 AM,6/9/2025,9:00 AM,FALSE,TRUE,,,,,,"Retail to Mail Initiative.",,Normal,FALSE,Normal,2
DDD CU,6/9/2025,9:00 AM,6/9/2025,9:30 AM,FALSE,TRUE,,,,,,"DDD CU.",,Normal,FALSE,Normal,2
Pharmacy Services,6/9/2025,10:00 AM,6/9/2025,10:30 AM,FALSE,TRUE,,,,,,"Pharmacy Services.",,Normal,FALSE,Normal,2
DDD CU,6/9/2025,10:30 AM,6/9/2025,11:00 AM,FALSE,TRUE,,,,,,"DDD CU.",,Normal,FALSE,Normal,2
AHA Architecture Sync,6/9/2025,2:00 PM,6/9/2025,2:30 PM,FALSE,TRUE,,,,,,"AHA Architecture Sync.",,Normal,FALSE,Normal,2
Regular IB,6/9/2025,3:00 PM,6/9/2025,3:30 PM,FALSE,TRUE,,,,,,"Regular IB.",,Normal,FALSE,Normal,2
Juan FTD,6/10/2025,9:00 AM,6/10/2025,9:30 AM,FALSE,TRUE,,,,,,"Juan FTD.",,Normal,FALSE,Normal,2
WPOWORT - Arch,6/10/2025,10:00 AM,6/10/2025,10:30 AM,FALSE,TRUE,,,,,,"WPOWORT - Arch.",,Normal,FALSE,Normal,2
Retail to Mail Initiative,6/10/2025,2:00 PM,6/10/2025,2:30 PM,FALSE,TRUE,,,,,,"Retail to Mail Initiative.",,Normal,FALSE,Normal,2
BD Skyline - Arch,6/10/2025,2:30 PM,6/10/2025,3:00 PM,FALSE,TRUE,,,,,,"BD Skyline - Arch.",,Normal,FALSE,Normal,2
BD Skyline - Arch,6/10/2025,3:00 PM,6/10/2025,3:30 PM,FALSE,TRUE,,,,,,"BD Skyline - Arch.",,Normal,FALSE,Normal,2
Plan Docs - Arch,6/11/2025,10:00 AM,6/11/2025,10:30 AM,FALSE,TRUE,,,,,,"Plan Docs - Arch.",,Normal,FALSE,Normal,2
DDD - Level Graduation,6/11/2025,2:00 PM,6/11/2025,2:30 PM,FALSE,TRUE,,,,,,"DDD - Level Graduation.",,Normal,FALSE,Normal,2
Retail to Mail Initiative,6/11/2025,2:30 PM,6/11/2025,3:00 PM,FALSE,TRUE,,,,,,"Retail to Mail Initiative.",,Normal,FALSE,Normal,2
DDD CU,6/12/2025,10:00 AM,6/12/2025,10:30 AM,FALSE,TRUE,,,,,,"DDD CU.",,Normal,FALSE,Normal,2
